geocode,graph_emb_0,graph_emb_1,graph_emb_2,graph_emb_3,graph_emb_4,graph_emb_5,graph_emb_6,graph_emb_7,graph_emb_8,graph_emb_9,graph_emb_10,graph_emb_11,graph_emb_12,graph_emb_13,graph_emb_14,graph_emb_15
2925253,-0.013900071238809274,-0.009188608432390024,0.013761769090957774,0.012214347158577762,0.005622487590934649,0.008163596124353086,0.02134803825591281,-0.010021718366402322,0.016492270243657077,3.0015281559897526e-15,1.5042038231493293e-15,5.773311425177528e-16,4.418069970296306e-15,2.0569785326750774e-15,4.4240054379059276e-16,8.619262569354118e-17
2925303,0.025438290750266653,0.011444554509901936,0.009330848122679385,-0.0102432017938772,-0.004428701340092154,-0.005414412020917862,-0.02744188022285525,0.005300342818731822,-0.014841174460904896,-1.351162210622828e-16,2.6716277298839598e-17,-1.1002112450561907e-15,-4.7574946892095494e-15,-2.4775250412480505e-15,-7.245785653574935e-16,2.718900870007455e-16
2925600,0.00043476549302704875,-0.0001822328065095329,0.0013708856045650877,0.0015211937570682663,-0.001194951643269556,-0.0013586869152857717,-0.0003781255137012943,0.0009366737948809398,0.002297871932490272,-3.1171125519555404e-16,-2.066386259177875e-16,-3.0867173911411117e-17,-1.7747501232650295e-16,-4.119277929550329e-17,-1.1346759464614792e-16,-3.804949908945227e-16
2925709,-0.005509605719068035,-0.0018266923464309898,-0.0003526814677342165,0.006342969737990614,-0.0018078273935972795,0.002017467857328003,0.006959534610930002,-0.0032421467088604825,0.004950039626547368,-1.3097554512262668e-15,-6.991473904032341e-16,2.4921693410077134e-16,8.515662746464477e-16,2.896966981306026e-16,-5.598471652533557e-16,-7.065364682753089e-16
2925808,-0.00026008294477700063,-0.0022866901285100187,0.006164817846085671,-0.0010743797865370994,-0.0018438381667010037,-0.004012793261499058,-0.004314913633793073,0.002461850078839848,-0.0003635584861073408,-1.4815248550795848e-15,-4.946037990360676e-16,2.3653407313608663e-16,6.716676739314059e-16,3.787462781489131e-16,4.5851905138125006e-17,-7.279849350336767e-16
2925956,-0.014945084267854136,-0.04710658601427222,0.019377295497035096,-0.045522566353218316,0.031629105535097395,0.036493082313236044,0.007099849757872818,0.0347722597948113,0.0063150756309168846,-8.584307808126478e-15,-2.841519603074876e-15,4.3875092539251284e-15,1.8676708407288613e-14,1.0187231305001393e-14,2.708062164677406e-15,1.9654493947681918e-15
2926004,-0.004225523060281363,-0.018767952895660165,0.029815195705292268,0.020351180842807102,0.0006197538496958307,0.023738982127533042,0.012846182015254993,-0.03227751795687742,0.032198972878578154,3.411809309904141e-15,1.328119758801136e-15,1.6309684454547825e-15,8.110012132269268e-15,4.146776317832667e-15,1.4237753888901152e-15,-1.8689742404064003e-15
2926103,-0.009453134836272995,-0.003481787078868599,0.03393075351591755,-0.025845932907801475,-0.002254862067025487,0.002130286270733486,-0.02251953722786433,0.031936837298730245,0.019924940763182377,-1.142947207699011e-15,1.3102306709788076e-16,1.4082847446538454e-16,1.4295130577754512e-15,8.558720074697469e-16,1.6156480435560162e-16,-9.43164841436077e-16
2926301,-0.009453134836273,-0.0034817870788686274,0.03393075351591764,-0.025845932907801544,-0.0022548620670254866,0.0021302862707334846,-0.022519537227864338,0.0319368372987303,0.01992494076318237,-1.126517576364382e-15,1.3222842328917215e-16,1.4590957491714268e-16,1.416369033714447e-15,8.152712121799028e-16,1.9514966772337197e-16,-9.351835501656867e-16
2926509,-0.0052966916613933195,0.012536262339535061,-0.01542886350283138,-0.012710890273996122,-0.004663217200806569,-0.02077449132143806,0.004230284851057825,0.022530586026614233,-0.019146647172227124,-9.06259640059323e-16,-4.580612533655315e-16,-1.0444668607989048e-15,-5.400324529089185e-15,-2.794379742189132e-15,-9.133013572376819e-16,3.315712900598804e-16
2926608,-0.005296691661393319,0.012536262339535049,-0.01542886350283138,-0.012710890273996115,-0.0046632172008065674,-0.02077449132143806,0.004230284851057822,0.022530586026614226,-0.019146647172227114,-9.333003487079631e-16,-4.60544612614245e-16,-1.0525477038401464e-15,-5.401683155289243e-15,-2.798942483310596e-15,-9.17491336049434e-16,3.3034465532653375e-16
2926707,-0.005509605719068045,-0.0018266923464309828,-0.00035268146773421603,0.006342969737990624,-0.0018078273935972766,0.0020174678573280044,0.006959534610930007,-0.003242146708860494,0.004950039626547326,-1.3571936261086586e-15,-8.664203232451757e-16,2.1724159728855815e-16,1.0130908509587674e-15,3.358308376030722e-16,-6.752349066938907e-16,-6.97417842620959e-16
2926806,-0.005509605719068033,-0.0018266923464309787,-0.0003526814677342158,0.0063429697379906265,-0.0018078273935972788,0.002017467857328001,0.006959534610929998,-0.003242146708860475,0.004950039626547332,-1.3816151763135627e-15,-8.592117013787075e-16,2.448737034807918e-16,9.661261252566686e-16,3.3108533013675276e-16,-6.099401905949091e-16,-6.905902167418019e-16
2926905,-0.005509605719068037,-0.0018266923464309846,-0.0003526814677342154,0.006342969737990613,-0.0018078273935972682,0.002017467857328002,0.006959534610930005,-0.00324214670886049,0.0049500396265473685,-1.3594592933023801e-15,-8.870808402786117e-16,2.1469938983003253e-16,1.0681362255558293e-15,3.1892391610407996e-16,-7.062281193333762e-16,-6.8129474068468e-16
2927101,-0.00671263442197294,0.004478127032749655,0.015097226192115022,-0.0018871842311257783,-0.002599017369554666,0.02063433001486557,0.01245774585959589,-0.005106645645658016,-0.004090650015338966,-1.7121178786764002e-15,-1.0107565739540346e-15,-5.378608269224646e-16,-1.8701915595858266e-15,-8.464468509645404e-16,-4.763343777234945e-16,-1.877630270828677e-16
2927200,0.0014726109223853927,0.0019426119809005469,-0.0010887975524175061,-0.0020147148033013373,-0.00015126907655078325,3.6004901773940034e-07,-0.002053293141476886,0.0003279719490744955,-0.003321663126479862,7.933150314794228e-18,4.554220896436093e-16,-2.1231692034909654e-16,-7.77410393025413e-16,-2.886332825156383e-16,-1.46908653217957e-16,2.2256956401055313e-16
2927309,-0.0049065901392315115,0.006601741258194392,-0.0005114147711219343,-0.00209441901516281,0.0008226392217391678,0.007405400069328544,0.005427203832323403,-0.0025649828063072574,-0.012560482007906583,1.8687982049299537e-15,1.2656343749780849e-15,-8.544618024004459e-16,-2.3500720919089913e-15,-1.214648637722375e-15,-2.509746772445804e-16,1.1006286634341268e-15
2927408,-0.004906590139231508,0.0066017412581944,-0.0005114147711219253,-0.002094419015162827,0.0008226392217391576,0.007405400069328538,0.005427203832323398,-0.002564982806307252,-0.012560482007906474,1.9216508819356176e-15,1.3494216591209122e-15,-8.407533857846565e-16,-2.380363416124624e-15,-1.2817731403520425e-15,-2.0696099559092292e-16,1.112895010767594e-15
2927903,0.005957892303529596,0.020499867465796292,-0.03457889456520304,0.021694806073642516,-0.012310311046312897,-0.004887537504607274,0.0173234841414281,-0.028013749078483058,-0.008547361507781927,5.054967794913515e-15,1.573303904833699e-15,-1.9401494903360704e-15,-7.94055183595453e-15,-4.348533792629544e-15,-1.1013754421730035e-15,-4.071473323257311e-16
2928000,-0.007516758193713355,-0.054690614166941834,-0.04987730671130858,0.03776013517932131,0.04484220114129912,-0.04645472896088593,0.025217959942036836,0.016663190108011913,0.06252654955715987,1.2280253655748321e-14,3.924716389904728e-15,4.813211155578896e-15,2.4719951415982272e-14,1.255389555170424e-14,4.225852456049388e-15,4.695697355210627e-15
2928109,0.027700701951899904,-0.011777209281479555,-0.029772951299350172,0.008336909086063968,0.009086857260476554,-0.03213127896796207,-0.013110146999364972,0.019163230654762064,0.01488784371753073,1.4171922724812934e-15,5.999400479867913e-16,9.609752496817192e-16,5.1291394955952946e-15,2.6783677605863447e-15,8.77296005091598e-16,8.706512661259364e-16
2928307,-0.011066141806242361,0.02184508587363135,0.005364765005910954,-0.05917277128100268,0.025678481879331073,-0.046810321932900835,0.03078673310413991,-0.037947061013639635,0.016644909758377176,-1.9091146082891716e-15,-5.502739493388237e-16,-1.745060046664507e-15,-8.54548111241141e-15,-4.4759012830868575e-15,-1.4492157745116946e-15,8.22600711153477e-15
